country,time,income_per_person_gdppercapita_ppp_inflation_adjusted,life_expectancy_years,population_total,name,world_4region
mda,2019,6722.0,73.08,4043258,Moldova,Europe
mdg,2019,1487.0,64.21,26969306,Madagascar,Africa
mdv,2019,14252.0,82.07,530957,Maldives,Asia
mex,2019,18002.0,75.63,127575529,Mexico,Americas
mhl,2019,3627.0,,58791,Marshall Islands,Asia
mkd,2019,13898.0,76.76,2083458,North Macedonia,Europe
mli,2019,2097.0,62.86,19658023,Mali,Africa
mlt,2019,39339.0,81.3,440377,Malta,Europe
mmr,2019,6267.0,69.1,54045422,Myanmar,Asia
mne,2019,17783.0,76.71,627988,Montenegro,Europe
mng,2019,12760.0,69.3,3225166,Mongolia,Asia
moz,2019,1170.0,59.86,30366043,Mozambique,Africa
mrt,2019,3885.0,71.03,4525698,Mauritania,Africa
mus,2019,21830.0,75.02,1269670,Mauritius,Africa
mwi,2019,1182.0,64.2,18628749,Malawi,Africa
mys,2019,29071.0,75.05,31949789,Malaysia,Asia
nam,2019,9696.0,67.22,2494524,Namibia,Africa
ner,2019,954.0,63.2,23310719,Niger,Africa
nga,2019,5300.0,65.23,200963603,Nigeria,Africa
nic,2019,4615.0,79.24,6545503,Nicaragua,Americas
nld,2019,50536.0,81.79,17097123,Netherlands,Europe
nor,2019,66308.0,82.59,5378859,Norway,Europe
npl,2019,2878.0,71.53,28608715,Nepal,Asia
nru,2019,13590.0,,10764,Nauru,Asia
nzl,2019,36472.0,81.92,4783062,New Zealand,Asia
omn,2019,35758.0,77.57,4974992,Oman,Asia
pak,2019,4997.0,67.18,216565317,Pakistan,Asia
pan,2019,23315.0,79.65,4246440,Panama,Americas
per,2019,12992.0,80.79,32510462,Peru,Americas
phl,2019,8264.0,70.0,108116622,Philippines,Asia
plw,2019,17428.0,,18001,Palau,Asia
png,2019,3931.0,58.94,8776119,Papua New Guinea,Asia
pol,2019,29912.0,78.38,37887771,Poland,Europe
prk,2019,1715.0,72.36,25666158,North Korea,Asia
prt,2019,29275.0,81.84,10226178,Portugal,Europe
pry,2019,12015.0,76.38,7044639,Paraguay,Americas
pse,2019,4671.0,77.17,4981422,Palestine,Asia
qat,2019,113331.0,80.45,2832071,Qatar,Asia
rou,2019,25527.0,75.44,19364558,Romania,Europe
rus,2019,25654.0,72.52,145872260,Russia,Europe
rwa,2019,2110.0,69.14,12626938,Rwanda,Africa
sau,2019,48115.0,77.12,34268529,Saudi Arabia,Asia
sdn,2019,4506.0,70.77,42813237,Sudan,Africa
sen,2019,3461.0,68.62,16296362,Senegal,Africa
sgp,2019,90080.0,85.14,5804343,Singapore,Asia
slb,2019,2152.0,68.86,669821,Solomon Islands,Asia
sle,2019,1464.0,61.32,7813207,Sierra Leone,Africa
slv,2019,7509.0,74.46,6453550,El Salvador,Americas
smr,2019,57803.0,,33864,San Marino,Europe
som,2019,631.0,59.23,15442906,Somalia,Africa
srb,2019,16663.0,76.03,8772228,Serbia,Europe
ssd,2019,1855.0,59.74,11062114,South Sudan,Africa
stp,2019,3047.0,67.3,215048,Sao Tome and Principe,Africa
sur,2019,13912.0,72.27,581363,Suriname,Americas
svk,2019,32095.0,77.73,5457012,Slovak Republic,Europe
svn,2019,33676.0,81.41,2078654,Slovenia,Europe
swe,2019,47211.0,82.78,10036391,Sweden,Europe
swz,2019,9560.0,61.82,1148133,Eswatini,Africa
syc,2019,27788.0,73.75,97741,Seychelles,Africa
syr,2019,2900.0,71.49,17070132,Syria,Asia
tcd,2019,1743.0,60.62,15946882,Chad,Africa
tgo,2019,1605.0,64.96,8082359,Togo,Africa
tha,2019,17359.0,78.58,69625581,Thailand,Asia
tjk,2019,3150.0,70.77,9321023,Tajikistan,Asia
tkm,2019,17599.0,70.35,5942094,Turkmenistan,Asia
tls,2019,7054.0,71.31,1293120,Timor-Leste,Asia
ton,2019,5904.0,71.98,104497,Tonga,Asia
tto,2019,28522.0,74.51,1394969,Trinidad and Tobago,Americas
tun,2019,11146.0,78.73,11694721,Tunisia,Africa
tur,2019,25039.0,79.48,83429607,Turkey,Europe
tuv,2019,3725.0,,11655,Tuvalu,Asia
tza,2019,2978.0,67.73,58005461,Tanzania,Africa
uga,2019,1870.0,66.6,44269587,Uganda,Africa
ukr,2019,8480.0,70.77,43993643,Ukraine,Europe
ury,2019,20925.0,77.32,3461731,Uruguay,Americas
usa,2019,56657.0,78.6,329064917,United States,Americas
uzb,2019,6493.0,70.69,32981715,Uzbekistan,Asia
vct,2019,11183.0,72.53,110593,St. Vincent and the Grenadines,Americas
ven,2019,9724.0,75.1,28515829,Venezuela,Americas
vnm,2019,6970.0,74.69,96462108,Vietnam,Asia
vut,2019,2888.0,65.0,299882,Vanuatu,Asia
wsm,2019,6239.0,73.15,197093,Samoa,Asia
yem,2019,2343.0,68.1,29161922,Yemen,Asia
zaf,2019,12039.0,66.93,58558267,South Africa,Africa
zmb,2019,3700.0,64.04,17861034,Zambia,Africa
zwe,2019,2392.0,62.04,14645473,Zimbabwe,Africa
